,F1,F2,F3,F4,F5,F6,F7,RUL
0,2595.3,1151.4885,3.67,3.211,5460.001,6755.01,10777.82,1112
1,7408.64,1172.5125000000007,4.246,3.22,5508.991999999998,6762.02,10500.35,1111
2,7393.76,1112.991999999991,4.249,3.224,5508.993000000002,6762.02,10420.38,1110
3,7385.5,1080.3206666666665,4.25,3.225,5502.015999999996,6762.02,10322.81,1109
4,3301.18,1194.2350769230688,3.674,3.504,5023.6336363636365,5977.38,5977.38,1106
5,5955.3,1220.1353285714576,4.013,3.501,5017.494999999995,5967.55,5967.55,1105
6,5951.2,1220.1353285714576,4.014,3.501,5017.496000000014,5962.21,5962.21,1104
7,5945.44,1216.920914285729,4.014,3.501,5009.993666666647,5954.91,5954.91,1103
8,3228.58,1135.3493333333172,3.689,3.485,5033.07569230767,5969.89,5969.89,1101
9,6019.9,1058.2797241378576,4.045,3.475,5053.842846153886,5980.77,5980.77,1100
10,6026.59,1049.487844827585,4.047,3.477,5046.429500000086,5966.82,5966.82,1099
11,6008.07,1065.3720591132296,4.045,3.48,5033.075769230723,5954.47,5954.47,1098
12,2261.34,883.1999999999534,4.038,3.901,1949.6640000001064,2922.69,6070.11,1096
13,2259.46,883.1990000000224,4.042,3.373,5181.377000000095,6161.38,9310.98,1095
14,2256.61,878.3999999999069,4.042,3.374,5181.375,6154.37,9296.64,1094
15,2252.83,873.6010000000242,4.043,3.374,5174.334000000032,6147.33,9243.58,1093
16,2250.62,868.8009999999776,4.044,3.374,5160.289000000106,6140.29,9245.53,1092
17,2248.6,868.7969999997877,4.044,3.375,5160.320999999763,6133.34,9248.32,1091
18,2245.05,864.0,4.044,3.374,5153.413999999873,6126.4,9215.78,1090
19,2242.53,861.594000000041,4.044,3.376,5146.368000000017,6119.36,9190.62,1089
20,2239.56,859.1960000002291,4.044,3.377,5139.368000000017,6112.36,9179.43,1088
21,2237.35,856.7970000000205,4.044,3.377,5132.25,6105.27,9181.21,1087
22,2236.26,856.7959999998566,4.045,3.377,5125.343999999808,6098.34,9198.3,1086
23,2234.38,852.0,4.045,3.378,5118.368000000017,6091.36,9176.38,1085
24,2232.16,852.0,4.045,3.378,5111.328000000212,6084.33,9145.58,1084
25,2230.78,849.6089999999385,4.045,3.377,5111.2660000000615,6084.25,9137.28,1083
26,2229.16,849.594000000041,4.045,3.377,5104.3589999999385,6077.38,9131.56,1082
27,2227.64,847.1720000002533,4.045,3.378,5097.344000000041,6077.34,9142.98,1081
28,2226.38,847.2030000002123,4.045,3.377,5090.360000000102,6070.36,9149.66,1080
29,2223.88,844.7970000002533,4.045,3.378,5090.312000000151,6063.3,9133.25,1079
30,2222.62,840.0,4.045,3.379,5083.3589999999385,6056.36,9112.39,1078
31,2221.02,842.405999999959,4.046,3.378,5076.2660000000615,6049.28,9112.14,1077
32,2220.19,840.0,4.046,3.378,5076.344000000274,6049.38,9136.16,1076
33,2218.41,837.594000000041,4.046,3.393,5069.313000000082,6042.31,9101.06,1075
34,2216.89,835.2029999997467,4.046,3.379,5062.375,6035.36,9112.24,1074
35,2214.97,825.594000000041,4.025,3.604,5026.311999999685,5999.0,9212.78,1073
36,2219.75,828.0,4.041,3.686,5020.311999999685,6000.31,9174.41,1072
37,2222.5,835.1880000003148,4.045,3.382,5058.797000000253,6035.28,9125.16,1071
38,2220.53,832.8130000003148,4.045,3.379,5069.375,6049.38,9155.72,1070
39,2217.28,830.4070000003558,4.045,3.379,5062.375,6035.38,9115.94,1069
40,2214.66,828.0,4.045,3.381,5048.342999999644,6028.34,9122.81,1068
41,2211.25,828.0,4.044,3.381,5041.25,6021.25,9074.06,1067
42,2210.59,828.0,4.045,3.381,5034.375,6014.38,9118.03,1066
43,2208.56,825.594000000041,4.045,3.382,5030.7339999999385,6007.22,9098.56,1065
44,2206.88,823.219000000041,4.045,3.382,5027.280999999959,6000.25,9091.78,1064
45,2203.19,820.8119999996852,4.045,3.383,5020.375,5993.38,9083.59,1063
46,2202.53,820.7820000003558,4.045,3.384,5013.375,5986.38,9089.47,1062
47,2200.34,816.0,4.044,3.386,5006.344000000041,5979.34,9089.41,1061
48,2198.19,816.0,4.044,3.385,4999.219000000041,5972.22,9067.53,1060
49,2197.0,813.5929999996442,4.044,3.387,4992.25,5965.25,9074.62,1059
50,2195.94,813.5929999996442,4.044,3.387,4988.859500000253,5965.38,9079.66,1058
51,2194.12,811.2190000002738,4.044,3.387,4985.344000000041,5958.34,9049.97,1057
52,2192.56,813.594000000041,4.044,3.388,4978.280999999726,5958.28,9049.44,1056
53,2190.75,811.2179999996442,4.044,3.387,4978.313000000315,5951.31,9029.53,1055
54,2189.5,808.8130000003148,4.044,3.388,4971.375,5944.38,9049.91,1054
55,2188.19,806.4369999996852,4.044,3.389,4964.313000000315,5937.31,9059.31,1053
56,2186.25,806.4380000003148,4.043,3.391,4960.843499999959,5937.38,9027.75,1052
57,2185.56,806.375,4.043,3.39,4957.375,5930.38,9015.12,1051
58,2185.12,806.4380000003148,4.043,3.39,4957.375,5930.38,9051.06,1050
59,2179.06,789.5619999996852,4.022,3.625,4921.375,5894.0,9069.94,1049
60,2182.56,793.1999999999534,4.004,3.381,5213.9199999999255,6200.32,9459.46,1047
61,2182.62,798.0,4.007,3.395,4969.152000000002,5912.35,9114.85,1046
62,2180.13,797.6000000000931,4.007,3.394,4969.178400000092,5912.35,9093.92,1045
63,2177.34,795.0,4.008,3.394,4961.920000000158,5912.32,9058.18,1044
64,2175.17,795.0,4.007,3.395,4954.782999999821,5912.38,9064.41,1043
65,2173.44,793.0,4.008,3.398,4947.551000000443,5912.35,9080.74,1042
66,2170.56,789.6000000000931,4.008,3.397,4940.320000000298,5912.32,9060.73,1041
67,2168.26,789.6000000000931,4.008,3.399,4933.12099999981,5876.32,9048.26,1040
68,2165.54,788.0,4.008,3.399,4928.319999999832,5876.32,9027.49,1039
69,2163.77,786.0,4.008,3.401,4918.790999999736,5876.39,9027.52,1038
70,2162.18,783.6000000000931,4.008,3.401,4916.321000000462,5876.32,9008.32,1037
71,2160.17,786.0,4.008,3.401,4911.550999999978,5876.35,9000.64,1036
72,2158.66,784.0,4.008,3.401,4910.359000000171,5876.36,9023.48,1035
73,2155.94,780.0,4.007,3.402,4904.328000000212,5876.33,8968.09,1034
74,2154.69,782.3999999999069,4.008,3.402,4897.158999999519,5840.36,8974.28,1033
75,2152.42,782.3999999999069,4.008,3.403,4889.913000000175,5840.31,8965.95,1032
76,2151.42,782.3999999999069,4.008,3.405,4882.728000000119,5840.33,8962.08,1031
77,2149.92,778.3999999999069,4.008,3.403,4880.342999999877,5840.34,8958.81,1030
78,2148.48,778.3999999999069,4.008,3.404,4875.512999999803,5840.31,8930.36,1029
79,2147.39,776.3999999999069,4.008,3.404,4868.327999999747,5840.33,8962.02,1028
80,2145.83,777.0,4.008,3.405,4868.265999999829,5840.27,8942.92,1027
81,2144.58,775.0,4.008,3.404,4862.311999999918,5804.31,8963.16,1026
82,2142.5,772.7999999998137,4.008,3.405,4856.327999999747,5804.33,8947.59,1025
83,2147.06,763.2180000003427,4.018,3.653,4816.311999999918,5788.97,9007.12,1024
84,2145.16,766.0,4.003,3.731,4808.344000000041,5768.34,9026.06,1023
85,2147.28,774.0,4.006,3.41,4853.944000000134,5804.34,8977.31,1022
86,2145.28,772.7999999998137,4.007,3.406,4861.143999999855,5804.34,8974.09,1021
87,2143.12,774.0,4.008,3.407,4853.943000000436,5804.34,8977.41,1020
88,2140.53,770.0,4.008,3.407,4846.743999999482,5804.34,8960.47,1019
89,2138.88,770.0,4.008,3.407,4839.513000000268,5804.31,8950.19,1018
90,2137.31,768.0,4.007,3.407,4838.375,5804.38,8971.72,1017
91,2135.19,769.2000000001863,4.007,3.408,4832.375,5804.38,8927.5,1016
92,2133.34,769.0,4.007,3.408,4825.143999999855,5768.34,8944.38,1015
93,2130.69,765.6000000000931,4.007,3.408,4817.944000000134,5768.34,8896.53,1014
94,2128.56,768.0,4.007,3.409,4810.743999999948,5768.34,8901.75,1013
95,2126.97,762.0,4.006,3.41,4803.513000000268,5768.31,8899.03,1012
96,2125.78,762.0,4.006,3.411,4796.313000000082,5768.31,8913.22,1011
97,2124.41,764.3999999999069,4.006,3.411,4796.375,5768.38,8916.5,1010
98,2122.03,762.3999999999069,4.005,3.411,4789.150199999567,5732.34,8875.09,1009
99,2112.0,759.0,4.005,3.411,4781.943000000436,5732.34,8892.59,1008
100,2118.81,760.7999999998137,4.006,3.413,4774.743999999948,5732.34,8892.44,1007
101,2117.62,756.7999999998137,4.006,3.412,4767.513000000268,5732.31,8905.44,1006
102,2115.12,757.2000000001863,4.005,3.414,4766.375,5732.38,8854.25,1005
103,2114.31,755.2000000001863,4.006,3.414,4760.375,5732.38,8898.38,1004
104,2112.31,753.0,4.005,3.414,4753.174999999814,5696.38,8870.56,1003
105,2111.19,753.0,4.005,3.414,4748.375,5696.38,8860.06,1002
106,2100.94,748.7999999998137,3.991,3.415,4745.975000000093,6147.88,8766.5,1001
107,2109.81,739.186999999918,4.014,3.674,4690.25,5656.0,8884.06,1000
108,2124.61,751.2000000001863,3.998,3.397,5066.256000000052,6056.26,9425.95,998
109,2124.16,752.0,3.999,3.415,4778.320999999996,5732.32,8951.84,997
110,2121.79,751.9980000001378,4.0,3.415,4781.824000000488,5732.22,8950.82,996
111,2119.97,749.6000000000931,4.001,3.417,4772.351999999955,5732.35,8959.65,995
112,2117.7,747.6000000000931,4.001,3.417,4767.552000000142,5732.35,8965.47,994
113,2114.24,747.6000000000931,4.001,3.419,4760.351999999955,5696.35,8932.74,993
114,2111.11,744.0,4.001,3.419,4753.151999999303,5696.35,8918.18,992
115,2107.84,744.0,4.001,3.421,4742.319999999832,5696.32,8919.01,991
116,2105.28,740.0,4.001,3.421,4731.520000000019,5696.32,8897.66,990
117,2102.91,738.0,4.001,3.422,4724.351999999955,5660.35,8913.22,989
118,2100.16,740.3999999999069,4.001,3.423,4717.121000000276,5660.32,8882.59,988
119,2098.37,738.3999999999069,4.001,3.424,4709.9199999999255,5660.32,8886.08,987
120,2095.59,734.3999999999069,4.001,3.425,4702.74300000025,5660.34,8857.02,986
121,2093.19,735.0,4.001,3.424,4695.589999999851,5660.39,8846.05,985
122,2091.2,736.7999999998137,4.001,3.425,4688.328000000212,5624.33,8845.25,984
123,2089.0,732.7999999998137,4.001,3.426,4681.049999999814,5624.25,8839.94,983
124,2086.91,732.0,4.001,3.427,4673.95900000073,5624.36,8834.91,982
125,2084.55,731.2000000001863,4.001,3.426,4666.712999999989,5624.31,8807.3,981
126,2083.19,731.2000000001863,4.001,3.427,4659.512000000104,5624.31,8812.31,980
127,2081.8,727.2000000001863,4.001,3.428,4652.312000000384,5588.31,8816.34,979
128,2079.97,727.2000000001863,4.001,3.427,4652.281000000425,5588.28,8807.45,978
129,2078.72,727.2000000001863,4.001,3.428,4645.191000000108,5588.39,8820.2,977
130,2076.91,729.6000000000931,4.001,3.427,4640.359000000637,5588.36,8797.52,976
131,2078.66,717.5930000003427,4.01,3.68,4592.375,5558.0,8897.53,975
132,2077.22,717.6000000000931,3.996,3.76,4574.344000000507,5516.34,8858.62,974
133,2080.69,725.6000000000931,3.999,3.433,4634.343999999575,5588.34,8807.22,973
134,2079.28,725.6000000000931,4.0,3.429,4645.143999999389,5588.34,8828.72,972
135,2076.56,723.6000000000931,4.0,3.429,4637.913000000175,5588.31,8812.88,971
136,2074.47,726.0,4.0,3.429,4630.74300000025,5588.34,8809.44,970
137,2071.62,720.0,4.0,3.431,4623.606000000611,5588.41,8778.0,969
138,2070.34,722.4062000000849,3.999,3.43,4616.311999999918,5552.31,8808.19,968
139,2069.03,722.3999999999069,4.0,3.43,4609.14400000032,5552.34,8804.88,967
140,2067.62,722.3938000001945,4.0,3.431,4604.313000000082,5552.31,8805.75,966
141,2065.16,720.7999999998137,3.999,3.43,4601.913000000175,5552.31,8784.09,965
142,2063.19,716.7814000002109,3.999,3.431,4592.311999999918,5552.31,8806.03,964
143,2060.94,715.2000000001863,3.999,3.432,4586.344000000507,5552.34,8776.62,963
144,2058.47,716.9922500001267,3.999,3.433,4574.311999999918,5516.31,8743.38,962
145,2056.81,713.6000000000931,3.998,3.433,4573.143999999389,5516.34,8739.5,961
146,2056.25,713.6000000000931,3.999,3.433,4565.913000000175,5516.31,8781.31,960
147,2054.41,713.6000000000931,3.998,3.434,4562.375,5516.38,8763.88,959
148,2052.81,711.6000000000931,3.998,3.434,4558.74300000025,5516.34,8734.62,958
149,2051.94,711.6000000000931,3.998,3.435,4551.512000000104,5516.31,8772.62,957
150,2050.28,712.0,3.998,3.435,4550.406000000425,5516.41,8748.69,956
151,2049.09,708.0,3.998,3.435,4544.25,5480.25,8772.62,955
152,2047.5,708.0,3.998,3.435,4544.375,5480.38,8766.19,954
153,2045.5,706.3999999999069,3.997,3.437,4537.112999999896,5480.31,8747.12,953
154,2043.88,706.3999999999069,3.998,3.436,4532.313000000082,5480.31,8719.94,952
155,2043.88,696.0,4.007,3.691,4487.311999999918,5453.06,8809.94,951
156,2063.62,704.7999999998137,3.992,3.778,4422.047999999486,5408.45,8837.34,950
157,2063.94,709.6000000000931,3.994,3.437,4580.321000000462,5516.32,8844.64,949
158,2060.42,705.6000000000931,3.994,3.437,4586.38300000038,5516.38,8830.3,948
159,2056.9,705.6000000000931,3.995,3.437,4574.382999999914,5516.38,8792.38,947
160,2054.37,705.6000000000931,3.995,3.437,4565.915999999736,5516.32,8818.78,946
161,2051.17,704.0,3.995,3.438,4556.339333333075,5516.32,8789.41,945
162,2047.81,702.0,3.995,3.438,4550.351999999955,5480.35,8762.31,944
163,2045.38,702.3999999999069,3.994,3.44,4537.151999999303,5480.35,8773.66,943
164,2042.37,698.3936000000685,3.994,3.441,4529.9590000002645,5480.36,8741.28,942
165,2039.71,698.3999999999069,3.995,3.441,4522.7209999994375,5480.32,8740.1,941
166,2036.9,694.3999999999069,3.994,3.442,4514.319999999832,5444.32,8750.37,940
167,2035.27,694.7999999998137,3.995,3.442,4508.351999999955,5444.35,8747.84,939
168,2033.47,694.7999999998137,3.994,3.443,4501.121000000276,5444.32,8731.49,938
169,2032.0,692.7999999998137,3.994,3.443,4493.972199999727,5444.34,8720.34,937
170,2030.14,692.7999999998137,3.995,3.443,4486.728000000119,5444.33,8684.33,936
171,2028.0,688.7999999998137,3.995,3.444,4484.375,5408.38,8706.36,935
172,2026.05,691.2000000001863,3.994,3.444,4478.25,5408.25,8705.12,934
173,2024.38,687.2020666664466,3.994,3.444,4472.312000000384,5408.31,8708.16,933
174,2022.75,689.6000000000931,3.994,3.445,4460.344000000507,5408.34,8713.08,932
175,2020.77,687.6000000000931,3.994,3.445,4454.328000000212,5408.33,8698.22,931
176,2020.39,686.992249999661,3.995,3.445,4450.743999999482,5408.34,8709.16,930
177,2018.94,687.6000000000931,3.994,3.445,4448.35999999987,5408.36,8701.61,929
178,2018.08,685.6000000000931,3.994,3.446,4443.558999999892,5372.36,8710.62,928
179,2017.06,676.813000000082,4.003,3.697,4389.343999999575,5355.0,8766.66,927
180,2016.22,676.0,3.989,3.773,4370.343000000343,5336.34,8762.41,926
181,2021.81,685.0,3.993,3.451,4436.343999999575,5372.34,8703.72,925
182,2020.78,685.6000000000931,3.994,3.447,4454.375,5408.38,8719.75,924
183,2018.25,684.0,3.993,3.446,4448.375,5372.38,8714.94,923
184,2016.12,686.3999999999069,3.993,3.446,4442.343999999575,5372.34,8699.53,922
185,2014.19,682.3855333332904,3.993,3.447,4436.343000000343,5372.34,8691.94,921
186,2012.34,680.3999999999069,3.993,3.448,4429.174999999814,5372.38,8698.09,920
187,2010.22,680.7999999998137,3.993,3.448,4421.943000000436,5372.34,8691.31,919
188,2008.03,676.7999999998137,3.993,3.448,4414.774999999907,5372.38,8680.53,918
189,2006.38,676.7999999998137,3.993,3.449,4412.311999999918,5336.31,8661.19,917
190,2004.31,676.7999999998137,3.993,3.449,4406.375,5336.38,8664.91,916
191,2003.25,675.2000000001863,3.992,3.449,4400.375,5336.38,8675.59,915
192,2001.22,675.2000000001863,3.992,3.45,4393.143999999389,5336.34,8663.38,914
193,1999.81,675.5751999998465,3.991,3.451,4388.311999999918,5336.31,8671.97,913
194,1998.75,673.6000000000931,3.992,3.451,4382.327999999747,5336.34,8668.19,912
195,1997.06,673.6000000000931,3.992,3.451,4378.712999999989,5336.31,8680.31,911
196,1996.0,672.0,3.992,3.451,4371.418999999762,5300.22,8657.47,910
197,1994.91,672.0,3.992,3.451,4370.313000000082,5300.31,8638.31,909
198,1993.31,672.0,3.991,3.451,4364.344000000507,5300.34,8636.97,908
199,1992.16,670.3999999999069,3.991,3.451,4364.375,5300.38,8640.56,907
200,1990.62,670.3999999999069,3.991,3.451,4357.081999999471,5300.28,8640.44,906
201,1989.94,666.3999999999069,3.991,3.453,4349.913000000175,5300.31,8681.19,905
202,1987.56,668.7999999998137,3.991,3.453,4346.343499999959,5300.31,8610.0,904
203,1985.56,657.625,3.999,3.702,4298.375,5257.06,8737.12,903
204,2010.88,666.0,3.983,3.434,4796.351999999955,5804.35,9386.14,901
205,2014.4,674.4000000003725,3.987,3.458,4412.479000000283,5336.48,8762.21,900
206,2012.29,672.0,3.987,3.456,4421.920999999158,5372.32,8765.15,899
207,2009.31,668.0,3.987,3.458,4414.752000000328,5336.35,8738.72,898
208,2006.66,668.0,3.987,3.458,4406.320999999531,5336.32,8725.21,897
209,2003.97,668.0,3.988,3.458,4400.350999999791,5336.35,8736.58,896
210,2000.64,666.0,3.988,3.458,4393.150999999605,5336.35,8712.19,895
211,1998.11,660.0,3.988,3.459,4382.382000000216,5300.38,8707.16,894
